Year,State,Vehicle_Category,Vehicle_Class,EV_Sales_Quantity
2017.0,Himachal Pradesh,3-Wheelers,RICKSHAW,0.0
2017.0,Himachal Pradesh,4-Wheelers,CAR/CAB,0.0
2017.0,Jammu and Kashmir,2-Wheelers,SCOOTER,0.0
2017.0,Jammu and Kashmir,3-Wheelers,RICKSHAW,0.0
2017.0,Jammu and Kashmir,4-Wheelers,CAR/CAB,0.0
2017.0,Jharkhand,2-Wheelers,SCOOTER,24.0
2017.0,Jharkhand,3-Wheelers,RICKSHAW,1327.0
2017.0,Jharkhand,4-Wheelers,CAR/CAB,0.0
2017.0,Karnataka,2-Wheelers,SCOOTER,60.0
2017.0,Karnataka,3-Wheelers,RICKSHAW,178.0
2017.0,Karnataka,4-Wheelers,CAR/CAB,462.0
2017.0,Kerala,2-Wheelers,SCOOTER,4.0
2017.0,Kerala,3-Wheelers,RICKSHAW,13.0
2017.0,Kerala,4-Wheelers,CAR/CAB,58.0
2017.0,Ladakh,2-Wheelers,SCOOTER,0.0
2017.0,Ladakh,3-Wheelers,RICKSHAW,0.0
2017.0,Ladakh,4-Wheelers,CAR/CAB,0.0
2017.0,Madhya Pradesh,2-Wheelers,SCOOTER,81.0
2017.0,Madhya Pradesh,3-Wheelers,RICKSHAW,1300.0
2017.0,Madhya Pradesh,4-Wheelers,CAR/CAB,11.0
2017.0,Maharashtra,2-Wheelers,SCOOTER,347.0
2017.0,Maharashtra,3-Wheelers,RICKSHAW,394.0
2017.0,Maharashtra,4-Wheelers,CAR/CAB,183.0
2017.0,Manipur,2-Wheelers,SCOOTER,4.0
2017.0,Manipur,3-Wheelers,RICKSHAW,1.0
2017.0,Manipur,4-Wheelers,CAR/CAB,0.0
2017.0,Meghalaya,2-Wheelers,SCOOTER,0.0
2017.0,Meghalaya,3-Wheelers,RICKSHAW,0.0
2017.0,Meghalaya,4-Wheelers,CAR/CAB,0.0
2017.0,Mizoram,2-Wheelers,SCOOTER,0.0
2017.0,Mizoram,3-Wheelers,RICKSHAW,0.0
2017.0,Mizoram,4-Wheelers,CAR/CAB,0.0
2017.0,Nagaland,2-Wheelers,SCOOTER,0.0
2017.0,Nagaland,3-Wheelers,RICKSHAW,0.0
2017.0,Nagaland,4-Wheelers,CAR/CAB,0.0
2017.0,Odisha,2-Wheelers,SCOOTER,80.0
2017.0,Odisha,3-Wheelers,RICKSHAW,107.0
2017.0,Odisha,4-Wheelers,CAR/CAB,7.0
2017.0,Puducherry,2-Wheelers,SCOOTER,3.0
2017.0,Puducherry,3-Wheelers,RICKSHAW,1.0
2017.0,Puducherry,4-Wheelers,CAR/CAB,3.0
2017.0,Punjab,2-Wheelers,SCOOTER,35.0
2017.0,Punjab,3-Wheelers,RICKSHAW,93.0
2017.0,Punjab,4-Wheelers,CAR/CAB,4.0
2017.0,Rajasthan,2-Wheelers,SCOOTER,72.0
2017.0,Rajasthan,3-Wheelers,RICKSHAW,3863.0
2017.0,Rajasthan,4-Wheelers,CAR/CAB,8.0
2017.0,Sikkim,2-Wheelers,SCOOTER,0.0
2017.0,Sikkim,4-Wheelers,CAR/CAB,0.0
2017.0,Tamil Nadu,2-Wheelers,SCOOTER,30.0
2017.0,Tamil Nadu,3-Wheelers,RICKSHAW,1.0
2017.0,Tamil Nadu,4-Wheelers,CAR/CAB,31.0
2017.0,Tripura,2-Wheelers,SCOOTER,0.0
2017.0,Tripura,3-Wheelers,RICKSHAW,0.0
2017.0,Tripura,4-Wheelers,CAR/CAB,2.0
2017.0,Uttar Pradesh,2-Wheelers,SCOOTER,293.0
2017.0,Uttar Pradesh,3-Wheelers,RICKSHAW,40342.0
2017.0,Uttar Pradesh,4-Wheelers,CAR/CAB,1.0
2017.0,Uttarakhand,2-Wheelers,SCOOTER,27.0
2017.0,Uttarakhand,3-Wheelers,RICKSHAW,4195.0
2017.0,Uttarakhand,4-Wheelers,CAR/CAB,0.0
2017.0,West Bengal,2-Wheelers,SCOOTER,0.0
2017.0,West Bengal,3-Wheelers,RICKSHAW,4434.0
2017.0,West Bengal,4-Wheelers,CAR/CAB,20.0
2018.0,Andaman & Nicobar Island,2-Wheelers,SCOOTER,0.0
2018.0,Andaman & Nicobar Island,3-Wheelers,RICKSHAW,0.0
2018.0,Andaman & Nicobar Island,4-Wheelers,CAR/CAB,20.0
2018.0,Andhra Pradesh,2-Wheelers,SCOOTER,1064.0
2018.0,Andhra Pradesh,3-Wheelers,RICKSHAW,37.0
2018.0,Andhra Pradesh,4-Wheelers,CAR/CAB,61.0
2018.0,Arunachal Pradesh,2-Wheelers,SCOOTER,1.0
2018.0,Arunachal Pradesh,3-Wheelers,RICKSHAW,0.0
2018.0,Arunachal Pradesh,4-Wheelers,CAR/CAB,0.0
2018.0,Assam,2-Wheelers,SCOOTER,69.0
2018.0,Assam,3-Wheelers,RICKSHAW,7333.0
2018.0,Assam,4-Wheelers,CAR/CAB,0.0
2018.0,Bihar,2-Wheelers,SCOOTER,584.0
2018.0,Bihar,3-Wheelers,RICKSHAW,7875.0
2018.0,Bihar,4-Wheelers,CAR/CAB,1.0
2018.0,Chandigarh,2-Wheelers,SCOOTER,29.0
2018.0,Chandigarh,3-Wheelers,RICKSHAW,168.0
2018.0,Chandigarh,4-Wheelers,CAR/CAB,4.0
2018.0,Chhattisgarh,2-Wheelers,SCOOTER,384.0
2018.0,Chhattisgarh,3-Wheelers,RICKSHAW,654.0
2018.0,Chhattisgarh,4-Wheelers,CAR/CAB,7.0
2018.0,DNH and DD,2-Wheelers,SCOOTER,1.0
2018.0,DNH and DD,3-Wheelers,RICKSHAW,17.0
2018.0,DNH and DD,4-Wheelers,CAR/CAB,0.0
2018.0,Delhi,2-Wheelers,SCOOTER,233.0
2018.0,Delhi,3-Wheelers,RICKSHAW,20287.0
2018.0,Delhi,4-Wheelers,CAR/CAB,417.0
2018.0,Goa,2-Wheelers,SCOOTER,4.0
2018.0,Goa,3-Wheelers,RICKSHAW,0.0
2018.0,Goa,4-Wheelers,CAR/CAB,18.0
2018.0,Gujarat,2-Wheelers,SCOOTER,168.0
2018.0,Gujarat,3-Wheelers,RICKSHAW,173.0
